Name,Team,Age,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PTS/G,TS%,USG%,EXP,DPOSS,DRAYMOND
Draymond Green,GSW2,28,0.7,2.5,0.285,2.1,3.9,0.549,1,1.4,0.692,7.4,0.526,13.1,7,6260.347,1.76104
Kevon Looney,GSW2,22,0,0.1,0.1,2.7,4.2,0.641,0.8,1.3,0.619,6.3,0.636,12.8,4,4145.064,2.719931
D'Angelo Russell,GSW2,22,2.9,7.8,0.369,5.2,10.9,0.482,2,2.5,0.78,21.1,0.533,31.9,4,5600.034,0.3260713
Willie Cauley-Stein,GSW2,26,0,0,0.5,5.1,9.1,0.556,1.7,3.1,0.551,11.9,0.566,17.5,4,4851.081,-0.3687158
Alec Burks,GSW2,28,1.3,3.5,0.378,2.7,6.5,0.412,2.3,2.9,0.806,11.6,0.495,8.5,8,2873.705,-1.056674
Bradley Beal,WAS2,25,2.5,7.3,0.351,6.8,12.4,0.548,4.4,5.5,0.808,25.6,0.581,28.4,7,6504.522,-0.7976942
John Wall,WAS2,28,1.6,5.3,0.302,6.1,12,0.507,3.8,5.5,0.697,20.7,0.527,28.8,9,2403.96,-0.912595
Thomas Bryant,WAS2,21,0.5,1.4,0.333,3.8,5.6,0.685,1.5,1.9,0.781,10.5,0.674,17.6,2,3241.333,0.1663918
Jordan McRae,WAS2,27,0.4,1.3,0.286,1.9,3.5,0.537,1,1.3,0.8,5.9,0.55,20.4,3,747.8625,-2.228214
Isaiah Thomas,WAS2,30,1.9,5.9,0.327,3.2,7.4,0.429,3.4,3.7,0.921,15.6,0.52,30.4,8,407.5139,2.552925
Davis Bertans,WAS2,26,1.9,4.4,0.429,0.8,1.5,0.513,0.7,0.8,0.883,8,0.632,14.1,3,3653.054,0.1238585
Ish Smith,WAS2,31,0.8,2.4,0.326,2.9,6.3,0.455,0.8,1.1,0.758,8.9,0.485,19.9,9,2763.467,0.3866644
Joe Harris,BKN2,27,2.4,5.1,0.474,2.5,4.8,0.528,1.4,1.8,0.827,13.7,0.645,17,5,5271.171,0.0170489
Spencer Dinwiddie,BKN2,25,1.8,5.4,0.335,3.6,6.7,0.528,4.2,5.2,0.806,16.8,0.58,24.9,5,4394.559,0.7671269
Caris LeVert,BKN2,24,1.2,3.9,0.312,4,8.2,0.483,2.1,3.1,0.691,13.7,0.509,24,3,2592.982,-0.9719455
Jarrett Allen,BKN2,20,0.1,0.6,0.133,4.1,6.5,0.629,2.5,3.5,0.709,10.9,0.632,15.9,2,4773.596,0.8708782
